,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,Negeri
,,"Sg. Tok Sani
17-18/10","Sg. Pertama
29/4","Sg. Kereh
3-13/10","Sg. Jarak
7-9/11",,,"Sg. Kulim
22/7","Sg. Derhaka
9/6","Sg. Kulim
21/3, 6-7/4, 13/4, 15/4","Sg. Selarong
28/9",
,,"Sg. Maklum
17-18/10",,"Sg. Kulim
2/8, 17/8, 8/9, 3-13/10, 25/11","Sg. Kulim
24-27/9, 1/11",,,,"Sg. Mengkuang Titi
9/6","Sg. Mengkuang
29/8, 10/11, 14/11",,
,,"Sg. Pertama
13/1",,"Sg. Jarak
21-26/10",,,,,,"Sg. Selarong
15/4",,
,,"Sg. Kubang Semang
13/1",,"Sg. Semambu
17/8",,,,,,"Sg. Seluang
6-7/4, 13/4, 15/4",,
,,"Sg. Mengkuang
13-14/1",,"Sg. Mengkuang
3-5/10",,,,,,"Sg. Ular
15/4",,
,,"Sg. Ara Kuda
13/1",,"Sg. Pertama
3-5/10",,,,,,,,
,,"Sg. Sintuk
13/1",,"Sg. Anak Jelutong
5/10",,,,,,,,
,,"Sg. Perai
13/1",,"Sg. Derhaka
5/10",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Permatang Rawa
13-14/1","Sg. Permatang Rawa
29/4, 14/11","Sg. Permatang Rawa
3/4, 8/9, 3-5/10, 25/11","Sg. Kilang Ubi
21/4",,,"Sg. Kilang Ubi
27/7","Sg. Permatang Rawa
18/8, 9/6","Sg. Kijang
12/7",,
,,"Sg. Kilang Ubi
13/1","Sg. Rambai / Pt. 4
29/4","Sg. Juru
3-6/10","Sg. Juru
16/11",,,"Sg. Permatang Rawa
16/4, 9/7, 27/7, 16/9, 22/10","Sg. Kilang Ubi
9/6","Sg. Permatang Rawa
29/8",,
,,,"Pt. Estet
29/4","Sg. Kilang Ubi
4-6/10",,,,"Sg. Permatang Ara
9/7, 27/7, 16/9, 22/10","Sg. Rambai
9/6, 29/9",,,
,,,"Sg. Junjong
14/11, 18/11","Sg. Rambai
3-5/10",,,,,,,,
,,,,"Sg. Ara
3-5/10",,,,,,,,
,,,,"Sg. Permatang Rotan
4-5/10",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Machang Bubok
13/1, 21/1","Sg. Machang Bubok
14/11, 18/11","Sg. Junjong
2-7/10","Sg. Machang Bubok
25/4","Sg. Machang Bubok
15/7",,"Sg. Junjung
23/2, 16/4, 23/7, 27/7","Sg. Junjung
20/3, 9/6, 29-30/9","Sg. Jawi
21/3, 11-12/11","Sg. Machang Bubok
17/11",
,,"Sg. Junjong
13-15/1",,"Sg. Machang Bubok
2-5/10","Sg. Bukit Teh
25/4",,,"Sg. Macang Bubok
16/4, 9/7, 27/7","Sg. Machang Bubok
23/5",,"Sg. Jawi
1/5, 18/5, 1/6, 14/12",
,,"Sg. Junjong Mati
13/1, 21/1, 2/10",,"Sg. Tok Suboh
4-6/10","Sg. Tasek Junjong
24/9",,,"Sg. Bukit Teh
16/4, 9/7, 27/7","Sg. Jawi
9/10",,"Sg. Badak Mati
21/7",
,,"Sg. Bukit Teh
13/1",,"Sg. Jawi
27/6, 4/10, 6/10",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Pinang
27/8","Sg. Pinang
8/10","Sg. Pinang
3-5/10","Sg. Pinang
26-27/7","Sg. Pinang
3/11",,"Sg. Pinang
18/10","Sg. Pinang
9/6, 18/8, 25/8, 30/9, 16/10","Sg. Pinang
9/4, 21/4, 3/5, 7/7","Sg. Pinang
5/6, 7/6, 26/11",
,,"Sg. Jelutong
2/11","Sg. Jelutong
8/10","Sg. Air Hitam
3-5/10",,"Sg. Jelutong
3/11",,"Sg. Jelutong
18/10","Sg. Jelutong
9/6, 18/8, 25/8, 30/9, 16/10","Pt. PN6
11/7","Sg. Air Hitam
5/6",
,,"Sg. Air Hitam
2/11","Prangin Canal
8/10","Sg. Jelutong
3-5/10",,,,"Pt. Konkrit
20/10","Pt. Konkrit (Georgetown)
18/8","Sg. Kecil
11/7",,
,,"Sg. Fettes
2/11","Sg. Air terjun
8/10","Prangin Canal S-10
3-5/10",,,,"Sg. Bayan Lepas
22/10","Prangin Canal
25/8, 30/9","Sg. Air Hitam
18/9",,
,,"Sg. Balik Batu
2/11",,,,,,"Sg. Relau
22/10","Sg. Air Putih
9/6, 16/10","Sg. Air Putih
14-15/11",,
,,,,"Sg. Bayan Lepas
4-5/10",,,,,"Sg. Air Hitam
9/6, 16/10",,,
,,"Sg. Air Terjun
16/10, 2/11",,"Sg. Kampung SeroNo.k
4-5/10",,,,,"Sg. Dondang
9/6, 30/9, 16/10",,,
,,,,"Sg. Pulau Betong
4-5/10",,,,,"Sg. Relau
9/6, 30/9, 16/10",,,
,,,,"Sg. Poley
4-5/10",,,,,"Sg. Satu
6/9, 30/9",,,
,,"Sg. Tiram
2/11",,"Sg. Telok Kumbar
4-5/10",,,,,"Sg. Mas
6/9, 30/9",,,
,,"Sg. Relau
2/11",,"Sg. Batu
4-5/10",,,,,"Sg. Telok Kumbar
5-6/9",,,
,,,,"Sg. Kampung Masjid
4-5/10",,,,,"Sg. Kg. Masjid
5-6/9",,,
,,,,"Sg. Burong
4-6/10",,,,,"Sg. Batas Besar
5-6/9",,,
,,,,"Sg. Bagan Air Hitam
4-6/10",,,,,"Sg. Bagan Lepas
5-6/9",,,
River & Date of Flood,,,,"Sg. Korok
4-6/10",,,,,"Sg. Kg. SeroNo.k
5-6/9",,,
,,,,"Sg. Nipah
4-6/10",,,,,"Sg. Kg. Bukit
5-6/9",,,
,,,,"Sg. Telok Bahang
4-6/10",,,,,"Sg. Ara
5-6/9",,,
,,,,"Sg. Telok Awak
4-6/10",,,,,"Sg. Keluang
5-6/9",,,
,,,,"Sg. Pinang
4-6/10",,,,,"Sg. Nibong Kecil
5-6/9",,,
,,,,"Sg. Rusa
4-6/10",,,,,"Sg. Relau
5-6/9",,,
,,,,"Sg. Ara
4-6/10",,,,,"Sg. Pulau Betong
5-6/9",,,
,,,,,,,,,"Sg. Burong
5-6/9",,,
,,,,,,,,,"Sg. Kuala Jalan Bahru
5-6/9",,,
,,,,,,,,,"Sg. Bagan Air Hitam
5-6/9",,,
,,,,,,,,,"Sg. Korok
5-6/9",,,
,,,,,,,,,"Sg. Air Putih
5-6/9",,,
,,,,,,,,,"Sg. Kongsi
5-6/9",,,
,,,,,,,,,"Sg. Batu Emas
5-6/9",,,
,,,,,,,,,"Sg. Telok Bahang
5-6/9",,,
,,,,,,,,,"Sg. Telok Awak
5-6/9",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Perak
River & Date of Flood,,"Sg. Kerian
13/1, 19/8, 29/10","Sg. Kerian
8/3, 29/4 & 3/11","Sg. Kerian
15-17/5, 9/9, 
5-13/10","Sg. Kerian
29-30/6, 16/7, 29/10","Sg. Teras
28/2","Sg. Ijok
16/11",,"Sg. Kerian
9/10, 20-21/10","Sg. Ijok
1/1, 11/11, 11/12","Sg. Beriah
17-19/11, 1-7/12",
,,,,"Sg. Kerian / Sg. Selama
4-7/10","Sg. Ijok / Sg. Dendang
25-26/11",,"Sg. Segar
16/11",,"Sg. Beriah
9/5, 9/6, 9/7, 
9-12/9","Sg. Kerian
4/2, 4/3, 16-18/3, 13-15/4, 4/6, 4/7, 4/8, 4/11,
11-21/11, 4/12, 11/12","Sg. Kerian
9/9",
,,,,"Sg. Ijok
4-7/10",,,"Sg. Kerian
23/10",,,"Sg. Selama
11/12",,
,,,,,,,"Sg. Beriah
23-26/10, 11/11, 13-22/11, 11/12, 27/12",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,"Sg. Kurau / Sg. Ara
18/10","Sg. Kurau
5-13/10","Sg. Kurau / Sg. Ara
30/9",,"Sg. Bukit Gantang
25/10, 16-17/11",,,,"Sg. Kurau / Sg. Ara
9/9",
,,,,"Sg. Kurau / Sg. Ara
4-7/10",,,"Sg. Kurau / Sg. Ara
25-27/10, 16/11",,,,"Sg. Jelai
14/11",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,"Sg. Jebong
3/11, 6/11, 14-16/11",,,,"Sg. Relong
6/11","Sg. Rantin
15-16/8, 22-23/12",,,"Sg. Sepetang
17-19/11, 1-7/12",
,,,"Sg. Petai
17/12",,,,,,,,"Sg. Petai
19/9",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,"Sg. Larut
14/11, 16/11",,"Sg. Jebong
28-30/9",,"Sg. Jebong
25-26/10","Sg. Larut
1/6, 15-16/8","Sg. Batu Teguh
17/7",,"Sg. Bkt. Gantang
17/8",
,,,,,,,,"Sg. Bukit Gantang / Sg. Senduk
4/3","Sg. Larut
17/7",,,
,,,,,,,,"Sg. Jaha / Sg. Bukit Gantang
23/12",,,,
,,,,,,,,"Sg. Batu Tugoh
15/8",,,,
,,,,,,,,"Sg. Lang
6/3",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,"Sg. Dinding
26-28/10",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,"Sg. Jarum Mas
30/11",,,"Sg. Nyior
7/3",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,"Sg. Batu
16-18/11",,"Sg. Rotan / 
Sg. Beruas
28/11-4/12","Sg. Beruas
24-27/7",,,,
