,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,Negeri
River & Date of Flood,,"Sg. Rawang
25/4, 9/5, 21/9, 26/9, 17/11","Sg. Liam
29/4","Sg. Kerling
2/5","Sg. Kuang / Sg. Rawang
7/9, 20/10, 5/11","Sg. Kelawai
27/9","Sg. Tenang
4/1","Sg. Serendah
10/6","Sg. Selangor
25/11","Sg. Selangor
12/4, 18/11","Sg. Kerling / Sg. Inki
20/12",
,,,"Sg. Batang Kali
29/4","Sg. Kelawai / Sg. Kerling
2/5, 1/6, 11/11","Sg. Kelawai
27/9","Sg. Kuang/ Sg. Rawang
26/3, 18/8","Sg. Kuang
4/5","Sg. Selangor
23/1","Sg. Selangor /  Sg. Guntung
29/5","Sg. Selangor / Sg. Bernam
30/3","Sg. Kundang / Sg. Air Hitam
10/4",
,,,"Sg. Selangor
30/4, 1/5, 20/11","Sg. Kuang / Sg. Rawang
13/8, 17/11",,,"Sg. Kubu
25/8","Sg. Kuang
10/6","Sg. Selangor / Sg. Batang Kali
4/9","Sg. Kerling
16/4","Sg. Selangor / Sg. Kundang
10/4",
,,,"Sg. Rawang
5/4, 1/5, 20/11",,,,"Sg. Liam
13/12",,,"Sg. Selangor / Sg. Batang Kali
27/9",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Buloh
14/4","Sg. Buloh
30/8, 10/11","Sg. Buloh
8/3, 14/4, 2/5,16/11","Sg. Buloh
22/2, 16/7, 5/11","Sg. Paya Jaras / Sg. Buloh
27/2, 24/4, 13/10","Sg. Buloh
6/1, 18/5, 2/11","Sg. Buloh
21/1, 14/6","Sg. Bakul
1/3","Sg. Buloh
26/12","Sg. Buloh
29/3",
,,,"Sg. Kapar Besar / Sg. Binjai
10/11","Sg. Pelong
7/5, 16/7, 13/8, 31/10, 3/12","Sg. Pelumut
5/3",,"Sg. Batu
19/3, 10/5",,"Sg. Buloh
18/3, 11/10, 15/10, 24/3",,,
,,,,,"Sg. Binjai
13-14/11",,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Klang
9/4, 19/4, 4/9, 8/10","Sg. Klang
29/4, 7/10, 5/11, 9-10/11, 12/11, 26/11","Sg. Kuyoh
21/2, 7/5, 15/7, 21/7, 12/8, 27/9, 31/10, 7/11, 24/12 ","Sg. Kuyoh
5/1, 2/4, 5/4, 21/10, 5/11","Sg. Damansara
27/2, 26/10","Sg. Gombak
1/11","Sg. Kuyoh
18/2","Sg. Damansara
27/2, 4/6","Sg. Klang / Sg. Rasau
12/4","Sg. Damansara/ Sg. Pelumut
24/4",
,,"Sg. Kuyoh
3/4, 9/4","Sg. Kuyoh
30/10, 10/11","Sg. Damansara / Sg. Klang
3/12","Sg. Damansara
20/1, 2/4, 5/4, 28/5, 29/9, 5/11, 12/11, 15/11","Sg. Klang
10/1, 28/3, 15/7, 15/10, 20/10, 22/10, 10/11, 30/11, 25/12, 29/12","Sg. Pusu
26/3, 30/10","Sg. Damansara
21/3, 10/6, 13/10, ","Sg. Klang
27/2, 11/3, 14/3, 3/6, 26/5, 25/8, 16/10","Sg. Klang / Sg. Air Itam
23/2","Sg. Damansara
2/6",
,,"Sg. Kayu Ara /
Sg. Chempaka
9/4","Sg. Damansara
10/1, 1/9, 6/10","Sg. Damansara
7/5, 16/7, 13/8, 31/10","Sg. Hitam
5/11","Sg. Klang / Sg. Kapar Besar
4/11","Sg. Klang
12/2, 16/2, 29/3, 8-9/4, 14/4, 20/4, 22/5, 26/5, 23/6, 9/9, 21/10, 25/10, 28/10, 11/11","Sg. Klang
21/3,23/3","Sg. Klang / Sg. Rasau
10/4, 8/7, 1/9, 7/10, 8/12","Sg. Batu
13/4, 15/4, 7/11","Sg. Klang
15/11",
,,"Sg. Damansara
3/4, 9/4, 13/4, 19/4, 4/9","Sg. Takil
6/10","Sg. Baru
8/11","Sg. Klang
2/4, 15/7, 17/7, 5/11, 24/11",,"Sg. Klang / Sg. Kapar Besar
11/11","Sg. Ampang
10/6","Sg. Klang  / Sg. Seputeh
27/8",,"Sg. Klang / Sg. Air Hitam
1/5, 18/5, 18-21/5",
,,"Sg. Rasau
3/4",,"Sg. Klang
25/1, 8/3, 13/3, 8/4, 19/4, 7/5, 16/7, 2/10,
14-17/11, 8/12",,,"Sg. Keruh
10/5","Sg. Batu
3/3, 20/10","Sg. Kayu Ara
11/10",,"Sg. Klang / Anak Sg. Damansara
15/11, 1/12",
,,"Sg. Ampang
*No. info on date",,,,,"Sg. Kuyoh
21/6, 15/11
","Sg. Pusu
26/9",,,"Sg. Klang / Sg. Damansara
20/5",
,,,,,,,"Sg. Damansara
1/1, 6/1, 23/1, 15/2, 26/2, 5/3, 25/8, 9/9, 20/10, 23/10",,,,"Sg. Klang / Sg. Kayu Ara
20/5",
River & Date of Flood,,,,,,,,,,,"Sg. Klang/ Sg. Teluk Gadong Besar
20/3",
,,,,,,,,,,,"Sg. Ampang / Sg. Seputih
18/5, 25/11",
,,,,,,,,,,,"Sg. Batu
22/3",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Langat /
Sg. Semenyih
3/4, 9/4","Sg. Aur
10/11","Sg. Langat
13/4, 25/6, 17/11
","Sg. Labu
20/2, 2/11, 5-7/11","Sg. Labu
27/2, 3/4","Sg. Rinching
18/1","Sg. Labu
9/6, 10/9","Sg. Langat
13-17/3, 23-24/3, 23-24/4, 8/6, 29/6, 16/10, 21-22/10, 27/11, 8-9/12","Sg. Langat
13/3, 23-24/3, 13/4, 26/4, 1/9, 21/10, 10/11","Sg. Langat
10/5, 18/5, 19/8, 19-23/9",
,,"Sg. Langat
9/4, 19/4, 17-19/11","Sg. Langat
29-30/4, 26/8,
1-4/5, 19-20/11","Sg. Lui/ Sg. Paya Lebar
12-13/11, 16/11","Sg. Langat
2/4, 21/10, 5/11, 12/11","Sg. Sompo
4/4","Sg. Langat
1-5/1, 9/4, 10/5, 21/6, 12/10, 26/10","Sg. Langat
19/2, 27/4, 2/6, 10/6, 3/9, 7/10, 22/10, 9/11","Sg. Langat / Sg. Semenyih
29/11","Sg. Langat / Sg. Mukim Batu
18/9","Sg. Langat / Sg. Labu
10/5, 17/9",
,,"Sg. Cheras
*No. info on date","Sg. Semenyih
29-30/4","Sg. Labu
8/4, 24/6, 16/7,
13-14/8, 3-4/11","Sg. Lui
5/11","Sg. Langat / Sg. Lui
24/5, 13/10, 12/12","Sg. Langat / 
Sg. Lui
21/3, 18/4",,"Sg. Langat / Sg. Labu
28/11","Sg. Langat / Sg. Bangi
22/2","Sg. Langat / Sg. Merab
10/5",
,,"Sg. Balak
*No. info on date",,,,,"Sg. Lui
15/10",,"Sg. Langat/ Sg. Merbau
25/2","Sg. Beranang / Sg. Sompo
1-2/3","Sg. Langat / Sg. Jenderam
10/5, 18/5, 17/9",
,,"Sg. Jai
9/4",,,,,"Sg. Labu
2/11",,"Sg. Langat / Sg. Rinching / Sg. Bangi
22/3, 23/11","Sg. Jai
1/3","Sg. Langat / Sg. Limau Manis
19/9",
,,"Sg. Sompo
9/4",,,,,,,"Sg. Langat / Sg. Serai
15/10","Sg. Btg. Labu
13/4","Sg. Merab
16/8",
,,"Sg. Beranang
9/4",,,,,,,"Sg. Kelanang
5/9",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,"Sg. Pelek
1/4",,"Sg. Sepang Besar
12/4, 18/11",,
,,,,,,,,,,"Sg. Sepang Besar / Sg. Keroh
14/5",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,KualaLumpur
River & Date of Flood,,"Sg. Klang
9/4, 19/4, 26/4, 6/6, 4/9, 8/10, 29/10","Sg. Klang
29/4, 6/5, 11/6, 6/9, 7-8/10, 5/11, 9-10/11, 12/11, 26/11, 21/12","Sg. Klang
25/1, 8/3, 13/3,  8/4, 19/4, 7/5, 10/6, 16/7, 21/7, 2/10, 14-17/11, 8/12","Sg. Klang
2/4, 27/5, 15/7, 17/7, 5/11, 24/11","Sg. Klang
10/1, 28/3, 15/7, 15/10, 20/10, 22/10, 10/11, 30/11, 25/12, 29/12","Sg. Gombak
1/11","Sg. Klang
21/3,23/3, 3/6, 10/6","Sg. Klang
27/2, 11/3, 14/3, 26/5, 3/6, 25/8, 16/10","Sg. Batu
3/2, 3/3, 13/4, 15/4, 7/11","Sg. Klang
16/5, 18/5, 15/11",
,,"Sg. Batu
25/1, 9/4, 26/4","Sg. Batu
29/4, 11/6","Sg. Gombak
10/6","Sg. Kerayong
8/2","Sg. Kerayong
22/4","Sg. Klang
12/2, 16/2, 29/3, 
8-9/4, 14/4, 18/4, 20/4, 10/5, 22/5, 26/5, 23/6, 25/8, 9/9, 5/10, 21/10, 25/10, 28/10, 11/11, 19/11","Sg. Ampang
10/6",,"Sg. Keroh
3/2, 3/3","Sg. Batu
22/3",
,,"Sg. Gombak
9/4, 26/4","Sg. Gombak
11/6","Sg. Kerayong
10/6, 21/6, 17/11","Sg. Gombak
16/7","Sg. Keroh
13/10","Sg. Keruh
10/5","Sg. Kerayong
2/6",,"Sg. Gombak
3/3","Sg. Kerayong
1/3, 18/5",
,,"Sg. Bunus
26/4, 6/6","Sg. Kerayong
8/11","Sg. Batu
10/6","Sg. Batu
16/7","Sg. Batu
 30/12","Sg. Kerayong
6/4","Sg. Batu
3/3, 20/10",,"Sg. Bunus
3/3","Sg. Gombak
25/5",
,,"Sg. Ampang
*No. info on date",,"Sg. Bunus
10/6, 21/7, 14/8",,,,,,"Sg. Kerayong
3/12",,
,,,,,,,"Sg. Kerayong
4/6",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,NegeriSembilan
River & Date of Flood,,,,,,,,"Sg. Sirusa
30/7, 4/9",,,,
,,,,,,,,"Sg. Pak Mail
4/9",,,,
,,,,,,,,"Sg. Puting
4/9",,,,
,,,,,,,,"Pt. Bakar Arang
4/9",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Linggi
17/11","Sg. Temiang
7/4, 14/10",,"Sg. Linggi
17-18/7","Sg. Linggi
3/4","Sg. Linggi
18-26/12","Sg. Linggi
25/2, 30/7, 4/9","Sg. Temiang
16/4","Sg. Lenggeng
1/3","Sg. Linggi
17/9, 20/9, 29/9, 14/11",
,,"Sg. Simpang Ampat
17/11","Sg. Linggi
14/10, 10/11",,"Sg. Ibor
17/7",,,"Sg. Paroi
28/11","Sg. Lenggeng
16/4","Anak Air Sg. Lenggeng
1/3",,
,,,"Sg. Pedas
11/10",,"Sg. Pedas
17/7",,,"Sg. Tanah Merah
30/7","Sg. Btg. Penar
29/6","Sg. Mendom
1/3",,
,,,,,"Sg. Rembau
17-18/7",,,"Sg. Jimah
30/7, 4/9","Sg. Paroi
29/6","Sg. Temiang
1/3, 31/10",,
,,,,,,,,"Sg. Menyala
30/7, 4/9","Sg. Simin
19/10","Sg. Btg. Penar
1/3, 15/4, 28/10",,
,,,,,,,,"Sg. Saguni
30/7, 4/9",,"Sg. Paroi
1/3, 15/4, 28/10",,
,,,,,,,,"Sg. Raya
30/7, 4/9",,"Sg. Linggi
1/3, 15/4, 28/10",,
,,,,,,,,"Sg. Linggi
30/7, 4/9",,"Sg. Btg. Jerlang
1/3",,
,,,,,,,,"Pt. Rancangan Saliran Chuah
4/9",,"Sg. Rembau
1/3",,
,,,,,,,,"Sg. Bukit Lintang
4/9",,"Sg. Pedas
1/3",,
,,,,,,,,"Sg. Rembau
4/9",,"Sg. Siput
2/3",,
,,,,,,,,"Sg. Pedas
4/9",,"Sg. Jernih
2/3",,
,,,,,,,,,,"Sg. Simpang Ampat
2/3",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Melaka
River & Date of Flood,,"Sg. Baru
27/9",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Melaka
29/8","Sg. Udang
5/7",,"Sg. Melekek
11-12/7",,"Sg. Durian Tunggal
3/10, 18-26/12","Sg. Melaka
9/5","Sg. Tampin
30/4, 27/11","Sg. Buloh
2/3","Sg. Tampin
22/3, 20/5",
,,"Sg. Alor Gajah
27/9","Sg. Putat
5/7, 10/7",,"Sg. Durian Daun
20/7",,"Sg. Melaka
18/4, 18/11, 
18-26/12","Sg. Air Salak
8/9","Sg. Melaka
4/10, 8/12","Sg. Lendu
2/3",,
,,,,,,,"Sg. Air Hitam
3/10",,"Sg. Durian Tunggal
8/12","Sg. Rantau Panjang
2/3",,
,,,,,,,"Sg. Durian Daun
18-26/12",,,"Sg. Btg. Melekek
2/3",,
,,,,,,,,,,"Sg. Kemus
2/3",,
,,,,,,,,,,"Sg. Perling
2/3",,
,,,,,,,,,,"Sg. Cerana Putih
2/3",,
,,,,,,,,,,"Sg. Melaka
27/7, 5/8",,
,,,,,,,,,,"Sg. Putat
27/7",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,"Sg. Duyong
5/7, 10/7",,,,"Sg. Gapam 
18-26/12",,,,,
,,,,,,,"Sg. Parit China
18-26/12",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Asahan
7/5","Sg. Rim
19/11",,"Sg. Merlimau
16/7","Sg. Kesang
31/5","Sg. Kesang
21/3, 23-29/11,
17-26/12","Sg. Tangkak
11-15/1","Sg. Merlimau
8/12","Sg. Merlimau
27/7",,
,,"Sg. Merlimau
8/6, 18/6","Sg. Kesang
19/11",,"Sg. Kesang
20/7, 30/9, 3/11",,"Sg. Merlimau
18-26/12","Sg. Gersik
11-15/1","Sg. Rambai
8/12",,,
,,,"Sg. Asahan
19/11",,"Sg. Gadek
3/11",,"Sg. Tangkak
17-21/12","Sg. Kesang
11-15/1",,,,
,,,,,,,"Sg. Gersik
17-21/12",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Johor
River & Date of Flood,,,"Sg. Kg. Dato' Johan
11/10",,"Sg. Kundur
17/7","Sg. Jempol
4/4","Sg. Muar
17-21/12","Sg. Muar
11-15/1, 11-12/12",,"Sg. Terachi
1/3","Sg. Muar
14/11, 26/11",
,,,,,,"Sg. Ghalib
4/4","Sg. Segamat
17-21/12","Sg. Segamat
11-15/1",,"Sg. Kundur
1/3","Sg. Kepis
14/11",
,,,,,,"Sg. Anak Air Kayu Ara
19/11","Sg. Serom
17-21/12","Sg. Serom
11-15/1",,,"Sg. Gemencheh
7/7, 14/11",
,,,,,,,"Sg. Lenga
17-21/12","Sg. Lenga
11-15/1",,,"Sg. Asahan
20/5, 1/7, 7/7",
,,,,,,,"Sg. Bukit Serampang
17-21/12","Sg. Bukit Serampang
11-15/1",,,,
,,,,,,,"Sg. Air Hitam
17-21/12","Sg. Air Hitam
11-15/1",,,,
,,,,,,,"Sg. Kundang
17-21/12","Sg. Kundang
11-15/1",,,,
,,,,,,,"Sg. Terap / Sg. Raya
17-21/12","Sg. Terap / Sg. Raya
11-15/1",,,,
,,,,,,,"Sg. Juasseh
17-21/12","Sg. Juasseh
11-15/1",,,,
,,,,,,,"Sg. Labis
17-21/12","Sg. Labis
11-15/1",,,,
,,,,,,,"Sg. Tenang
17-21/12","Sg. Tenang
11-15/1",,,,
,,,,,,,"Sg. Kapeh
17-21/12","Sg. Kapeh
11-15/1",,,,
,,,,,,,"Sg. Chodan
17-21/12","Sg. Chodan
11-15/1",,,,
,,,,,,,"Sg. Jementah
17-21/12","Sg. Jementah
11-15/1",,,,
,,,,,,,"Sg. Jenalim
17-21/12","Sg. Jenalim
11-15/1",,,,
,,,,,,,"Sg. Merlimau
17-21/12","Sg. Merlimau
11-15/1",,,,
,,,,,,,,"Anak Air Ponting
20/1",,,,
,,,,,,,,"Sg. Jelai
20/1",,,,
,,,,,,,,"Anak Air Ulu Bendul
9/3",,,,
,,,,,,,,"Sg. Batang Pilah
26/4",,,,
,,,,,,,,"Sg. Gemas
11-12/12",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,"Sg. Sarang Buaya
8-9/12",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,"Sg. Batu Pahat / Sg. Simpang Kiri
17-21/12","Sg. Batu Pahat / Sg. Simpang Kiri
11-15/1",,,,
,,,,,,,"Sg. Batu Pahat / Sg. Bekok
17-21/12","Sg. Batu Pahat / Sg. Bekok
11-15/1",,,,
,,,,,,,"Sg. Batu Pahat / Sg. Sembrong
17-21/12","Sg. Batu Pahat / Sg. Sembrong
11-15/1",,,,
,,,,,,,"Sg. Batu Pahat / Sg. Simpang Kanan
17-21/12","Sg. Batu Pahat / Sg. Simpang Kanan
11-15/1",,,,
,,,,,,,"Sg. Senggarang
17-21/12","Sg. Senggarang
11-15/1",,,,
,,,,,,,"Sg. Lenek
17-21/12","Sg. Lenek
11-15/1",,,,
,,,,,,,"Sg. Bangka
17-21/12","Sg. Bangka
11-15/1",,,,
,,,,,,,"Sg. Chaah
17-21/12","Sg. Chaah
11-15/1",,,,
,,,,,,,"Sg. Bekok
17-21/12","Sg. Bekok
11-15/1",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,"Sg. Benut
18-21/12","Sg. Benut
11-15/1",,,,
,,,,,,,"Sg. Berumbung
18-21/12","Sg. Berumbung
11-15/1",,,,
,,,,,,,"Pt. Hj. Hashim
18-21/12","Pt. Hj. Hashim
11-15/1",,,,
,,,,,,,"Sg. Tampok
18-21/12","Sg. Tampok
11-15/1",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,"Sg. Sanglang
17-21/12","Sg. Sanglang
11-15/1",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,"Sg. Ayer Baloi
17-21/12","Sg. Ayer Baloi
11-15/1",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,"Sg. Pontian Kecil
17-21/12","Sg. Pontian Kecil
11-15/1",,,,
,,,,,,,"Sg. Pontian Besar
17-21/12","Sg. Pontian Besar
11-15/1",,,,
,,,,,,,"Sg. Air Hitam
17-21/12","Sg. Air Hitam
11-15/1",,,,
,,,,,,,"Sg. Rambah
17-21/12","Sg. Rambah
11-15/1",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,"Sg. Pulai / Sg. Ulu Pulai/ Sg. Choh
17-21/12","Sg. Pulai / Sg. Ulu Pulai/ Sg. Choh
11-15/1",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Skudai
18/1",,,,,"Sg. Skudai
17-21/12","Sg. Skudai
11-15/1",,,"Sg. Skudai
23/6, 21/7, 21/9",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Plentong
18/1",,,,,"Sg. Tebrau
17-21/12","Sg. Tebrau
11-15/1",,,,
,,,,,,,"Sg. Plentong
17-21/12","Sg. Plentong
11-15/1",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Masai
18/1",,,,,"Sg. Sayong
17-21/12","Sg. Sayong
11-15/1",,,,
,,"Sg. Sayong
18/1",,,,,"Sg. Johor
17-21/12","Sg. Johor
11-15/1",,,,
,,,,,,,"Sg. Tiram
17-21/12","Sg. Tiram
11-15/1",,,,
,,,,,,,"Sg. Pok Kecil
17-21/12","Sg. Pok Kecil
11-15/1",,,,
,,,,,,,"Sg. Kempas
17-21/12","Sg. Kempas
11-15/1",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Parit Batu 7, Kg. Wak Salam
18/1",,"Sg. Jemaluang
8-9/12",,,,,,,,
,,"Sg. Paya Dato
18/1",,"Sg. Jemaluang / Sg. Paya Dato
8-9/12",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Lengan Baju
17-18/1",,"Sg. Mersing
8-9/12",,," Sg. Tenglu Besar
17-21/12","Sg. Tenglu  Besar
11-15/1",,,,
,,"Parit Tadahan Pengkalan Batu
18/1",,"Sg. Derhaka / Pt. Tahan
8-9/12",,,,,,,,
,,"Parit Kg. Paya Pengkalan Batu
18/1",,,,,,,,,,
,,"Sg. Tenglu Besar
17-18/1",,,,,,,,,,
,,"Sg. Teluk Buih
17-18/1",,,,,,,,,,
,,"Sg. Air Merah
18/1",,,,,,,,,,
,,"Sg. Derhaka
18/1",,,,,,,,,,
,,"Sg. Tenglu Kecil
18/1",,,,,,,,,,
,,"Sg. Selang Bani
18/1",,,,,,,,,,
,,"Sg. Segenting
17-18/1",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Tekedai / Sg. Air Tawar
18/1",,"Sg. Endau / Sg. Padang
8-9/12",,,"Sg. Endau
17-21/12","Sg. Endau
11-15/1",,,,
,,"Sg. Semanyir
18/1",,"Sg. Endau / Pt. Besar Semanyir
8-9/12",,,"Sg. Lenggor
17-21/12","Sg. Lenggor
11-15/1",,,,
,,"Sg. Padang
18/1",,"Sg. Tekedai
8-9/12",,,"Sg. Melantai
17-21/12","Sg. Melantai
11-15/1",,,,
,,"Sg. Ngang
18/1",,"Sg. Triang Kecil
8-9/12",,,"Sg. Sembrong Kecil
17-21/12","Sg. Sembrong Kecil
11-15/1",,,,
,,"Sg. Air Hitam
18/1",,"Sg. Endau / Sg. Semaloi
8-9/12",,,"Sg. Mengkibol
17-21/12","Sg. Mengkibol
11-15/1",,,,
,,"Sg.Mengkibol
18/1",,,,,"Sg. Kahang
17-21/12","Sg. Kahang
11-15/1",,,,
,,,,,,,"Sg. Marong
17-21/12","Sg. Marong
11-15/1",,,,
,,,,,,,,"Sg. Anak Endau
7-22/12",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,"Sg. Pontian
7-22/12",,,,Pahang
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,"Sg. Rompin / Sg. Keratong
23/1-1/2","Sg. Rompin
6/2",,,"Sg. Keratong
7-22/12",,,,
,,,,,,,,"Sg. Rompin
7-22/12",,,,
,,,,,,,,"Sg. Sawak
7-22/12",,,,
,,,,,,,,"Sg. Pukin
7-22/12",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Pahang
27/12, 23-29/12","Sg. Serting
11/10","Sg. Pahang
13-22/1","Sg. Bentong
13/1, 9/11","Sg. Pah
3/4",,"Sg. Serting
29/3, 11-13/12","Sg. Jelai
25-26/12","Sg. Triang
27/8, 6/12","Sg. Triang
23/3, 19/8, 29/11",
,,"Sg. Jelai
23/12","Sg. Pahang
13/12","Sg. Pahang / Sg. Semantan
30/6-1/7, 1/6, 1/7","Sg. Pahang
8-11/12","Sg. Klawang
3-4/4",,"Sg. Triang
12/11",,"Sg. Pahang
2-6/1, 5/12","Sg. Serting
31/3, 16/7, 18/7",
,,,,,"Sg. Tekai
9/11",,,"Sg. Jerang
12/11",,"Sg. Maran
5/12","Sg. Kenaboi
19/8",
,,,,,,,,"Sg. Kenaboi
12/11",,"Sg. Chedong
5/12","Sg. Chempedak
29/9",
,,,,,,,,"Sg. Pertang
12/11",,,,
,,,,,,,,"Sg. Ulu Jelebu
12/11",,,,
,,,,,,,,"Sg. Gelami Lemi
12/11",,,,
,,,,,,,,"Sg. Chempedak
12/11",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,"Sg. Penur
5/12",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Kuantan
15/12","Sg. Kuantan
10/12, 13/12","Sg. Kuantan / Sg. Kenau / Sg. Pinang
9/12","Sg. Kuantan
8-11/12",,,,,"Sg. Kuantan
2-6/1, 5/12",,
,,,,"Sg. Kuantan / Sg. Belat
9-10/12",,,,,,"Sg. Belat
2-6/1, 5/12",,
,,,,"Sg. Kuantan / Sg. Galing Kechil / Sg. Pandan
9/12, 13/12",,,,,,"Sg. Soi
5/12",,
,,,,"Sg. Kuantan / Sg. Panching / Sg. Riau
9-11/12",,,,,,"Sg. Pandan
5/12",,
,,,,"Sg. Kuantan / Sg. Isap / Sg. Belat / Parit Jawa / Sg. Pandan / Sg. Tiram / Sg. Galing Besar
9-13/12",,,,,,"Sg. Air Hitam
5/12",,
,,,,,,,,,,"Sg. Lepar
5/12",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,"Sg. Baluk
30/12",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,"Cg. Cherating
5/12",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Terengganu
